What does CIA stand for in cybersecurity?	1	Control, Information, Access	Confidentiality, Integrity, Availability	Cybersecurity, Internet, Authentication	Confidentiality, Information, Authorization
Which cybersecurity principle prevents unauthorized people from reading information?	2	Integrity	Authentication	Confidentiality	Availability
Which principle ensures that information has not been improperly changed?	1	Confidentiality	Integrity	Availability	Accessibility
Which principle ensures that authorized users can access systems when needed?	3	Confidentiality	Privacy	Integrity	Availability
A hacker secretly reads a lecturer's message to students. Which principle has been violated?	1	Integrity	Confidentiality	Availability	Authentication
The lecturer sends: “The exam starts at 10 AM.” An attacker changes the message to: “The exam starts at 11 AM.” Which principle is violated?	2	Availability	Confidentiality	Integrity	Authentication
An attacker prevents students from receiving an exam announcement. Which principle is violated?	2	Confidentiality	Integrity	Availability	Privacy
Which of the following is an example of a confidentiality violation?	2	A hacker changes a student's grade	A server becomes unavailable	An unauthorized person reads private messages	A database record is deleted
Which is an example of an integrity violation?	1	Reading someone's password	Changing a database record without permission	Taking a website offline	Blocking access to a server
Which is an example of an availability violation?	2	Reading private messages	Changing an exam time	Making a website unavailable	Viewing someone's photos
Cybersecurity is mainly concerned with:	1	Preventing only theft	Protecting systems and information from different types of security threats	Installing passwords only	Protecting physical computers only
Which organization is associated with the cybersecurity definition discussed in the lecture?	2	NASA	WHO	NIST	FIFA
NIST stands for:	1	National Institute of Security Technology	National Institute of Standards and Technology	Network Institute of Security Testing	National Information Security Team
Which of the following can be considered an information-system asset?	3	Hardware	Software	Firmware	All of the above
Which of the following can cybersecurity protect?	3	Stored information	Processed information	Communicated information	All of the above
An attacker monitors network communication without modifying anything. Which property is primarily affected?	2	Availability	Integrity	Confidentiality	Reliability
If information can no longer be trusted because someone has changed it, which security property has been compromised?	1	Availability	Integrity	Confidentiality	Accessibility
If a legitimate user cannot access a server when needed, this primarily represents a problem with:	2	Confidentiality	Integrity	Availability	Privacy
Which statement is TRUE?	2	A security problem only occurs if information is stolen.	Attackers must change information to cause damage.	An attacker can cause a security problem simply by observing private information.	Availability is unrelated to cybersecurity.
Before deciding how to secure a system, one important question is:	0	What are we protecting?	What color is the computer?	How old is the user?	How large is the monitor?
Which is NOT one of the CIA Triad principles?	2	Confidentiality	Integrity	Authentication	Availability
Which question is most closely related to confidentiality?	2	Can users access the system?	Has the information been changed?	Who is allowed to see the information?	Is the server fast?
Which question is most closely related to integrity?	1	Who can read the information?	Can the information be trusted as correct?	Can users access the server?	Is the information encrypted?
Which question is most closely related to availability?	0	Can authorized users access the service when required?	Has someone secretly read the data?	Has someone changed the data?	Who owns the data?
Someone accesses your phone and reads your private photos without permission. This is mainly a violation of:	1	Integrity	Confidentiality	Availability	Reliability
Someone changes your bank-account information without authorization. This primarily violates:	2	Confidentiality	Availability	Integrity	Accessibility
